time,kind,id,x,y
1.7000,agent,agent_12,2.346734,3.539733
1.7000,agent,agent_13,4.965948,3.125032
1.7000,agent,agent_14,2.574849,4.782575
1.7000,agent,agent_15,2.586444,2.907951
1.7000,cargo,cargo_0,3.755696,3.806282
1.7500,agent,agent_00,4.191504,2.721685
1.7500,agent,agent_01,2.905741,3.100889
1.7500,agent,agent_02,5.173461,4.156318
1.7500,agent,agent_03,2.230362,4.011938
1.7500,agent,agent_04,4.805098,5.474165
1.7500,agent,agent_05,5.179485,3.579632
1.7500,agent,agent_06,2.469869,3.187537
1.7500,agent,agent_07,3.337281,5.133072
