case_id,shape,seed,position_class,yaw_deg,surface_density,ground_friction,contact_friction,vertex_count,goal_angle_deg,diameter_m,perimeter_m,domain_eligible,finite_time_eligible,theorem_eligible,termination,task_success,success_given_eligible,failure_class,frame,wall_seconds,fps,J_m,efficiency,max_cross_track_error_m,max_abs_rotation_deg,max_penetration_m,operational_enclosure_maintained,fallbacks,infeasible,rho_relaxations
rectangle__seed_004,rectangle,4,edge,272.70288371273796,0.8,0.15,0.8,,-127.68996037846841,1.3567977004697498,3.7400000000000007,True,False,False,SUCCESS_HOLD,False,False,CONTRACT_FAILURE,324,26.54099639999913,12.207529631404894,0.16629984866972705,0.9720641740692746,0.052360552791804744,69.07745033275242,0.01687843644640291,False,0,0,0
ellipse24__seed_004,ellipse24,4,corner,287.55895913548756,2.2,0.3,0.4,24,-127.68996037846841,1.4399999999999997,3.6332971918598282,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,360,14.771311199991032,24.37156696016387,0.10061451439442147,0.9931675748239828,0.011822176860587792,0.6607143739904018,0.011319259626274475,False,0,0,0
l_shape__seed_004,l_shape,4,random,170.3263491370353,1.5,0.45,0.6,,-127.68996037846841,1.6122034611053286,4.56,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,366,20.95571310003288,17.46540421950259,0.0830801659303633,0.8507506032920481,0.05132457141377581,21.87200044084539,0.011402073085729603,False,0,0,0
u_shape__seed_004,u_shape,4,center,288.33655922770885,0.8,0.15,0.8,8,-127.68996037846841,1.7029386365926402,6.300000000000001,True,False,False,SUCCESS_HOLD,True,True,SUCCESS,336,26.354076599993277,12.749450686505392,0.08503315731548823,0.9959071623505708,0.016664938954711155,10.39824663305097,0.019305535813717578,True,0,0,0
c_shape__seed_004,c_shape,4,edge,285.07608131650414,2.2,0.3,0.4,8,-127.68996037846841,1.7029386365926404,6.6,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,423,40.92236219998449,10.336646695340582,0.11519043965659206,0.8544696255195171,0.07031274074070876,5.745290455652281,0.012230197139627474,False,0,0,0
star10__seed_004,star10,4,corner,233.03288211806444,1.5,0.45,0.6,10,-127.68996037846841,1.331479122813215,4.695826984435489,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,495,37.75158310000552,13.112032909685519,0.19431114710478548,0.9841962071832758,0.03505316166128644,68.9230314605057,0.010265204530539446,False,0,0,0
convex_random__seed_004,convex_random,4,random,167.04533658209192,0.8,0.15,0.8,8,-127.68996037846841,1.508806413778887,4.256818529370691,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,324,22.124116699968,14.644652457490817,0.07330790095146847,0.78821877151256,0.057234522949724455,39.47080320403396,0.020156363894357182,True,0,0,6
concave_random7__seed_004,concave_random7,4,center,221.15948094066687,2.2,0.3,0.4,7,-127.68996037846841,1.1818525853125128,3.3787293656578608,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,333,14.704963300027885,22.645415238769658,0.07707938914661011,0.9947454901036281,0.008103166356327837,2.12470848462058,0.012973545484818688,True,0,0,0
concave_random15__seed_004,concave_random15,4,edge,222.59369283622593,1.5,0.45,0.6,15,-127.68996037846841,1.3070961684389781,4.70024553826814,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,429,38.59642429999076,11.11501927395131,0.119663029473483,0.7272606042280231,0.11293541603192037,98.99159756430818,0.01864057561636409,False,0,0,0
high_aspect__seed_004,high_aspect,4,corner,150.39487108065967,0.8,0.15,0.8,,-127.68996037846841,1.619413474070165,3.6999999999999997,True,False,False,SUCCESS_HOLD,False,False,CONTRACT_FAILURE,384,20.92563060001703,18.350701459849315,0.6028433815925828,0.9797251324898956,0.12660093728405694,11.265152666996597,0.005877532512610445,True,0,0,0
polygon32__seed_004,polygon32,4,random,75.86887098618719,2.2,0.3,0.4,32,-127.68996037846841,1.2651297207804584,3.984139826199489,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,354,15.335142500000075,23.084232833180277,0.0815429195126127,0.9990429964824981,0.004557591360121273,0.3726638825998301,0.012886258234944353,False,0,0,0
